TRANSACTION_ID,DGORDER_ID,MEMBER_ID,TRANSACTION_TYPE,XTRANSACTION_DATE,RATE_ID,GOLD_RATE,GRAMS_PURCHASED,PAYMENT_GATEWAY,PAYMENT_METHOD,TOTAL_GOLD_AMOUNT,CHANNEL,TRANSACTION_STATUS,LASTUPDATED,PRECHECKOUT_INITATED,PRE_GST_BUY_PRICE,GST_AMOUNT,INVOICE_ID,ADDITIONAL_FIELD1,ADDITIONAL_FIELD2,ADDITIONAL_FIELD3,ADDITIONAL_FIELD4,ADDITIONAL_FIELD5,ADDITIONAL_FIELD6
43411621,107001,3357737,B,2021-04-28 11:16:09.991,345500589,4808.93000,0.02010,PayU,CardPayU,100.00000,WEB,buy confirmed,2021-04-28 11:16:09.991,Yes,,,SG21042811191143411621,,,,,,
43415227,108001,21176376,B,2021-04-28 12:09:22.15,345528446,4803.52000,0.02020,PayU,GooglePayPayU,100.00000,WEB,buy confirmed,2021-04-28 12:09:22.153,Yes,,,SG21042812111743415227,,,,,,
43510359,119002,6615391,B,2021-04-30 13:19:16.154,346482619,4780.98000,0.02030,PayU,GooglePayPayU,100.00000,WEB,redemption,2021-04-30 13:19:16.154,Yes,,,SG21043001202043510359,,,,,,
